company_name,industry,tier
hrskill,BPO/KPO,3
icon infosystems,BPO/KPO,3
iglobal impact ites pvt. ltd,BPO/KPO,3
ikya global,BPO/KPO,3
imanol infotech,BPO/KPO,3
infinite bpo private limited,BPO/KPO,3
infognana (ig) solutions,BPO/KPO,3
infovisiongroup,BPO/KPO,3
innovations infocom pvt ltd,BPO/KPO,3
inox global services ltd,BPO/KPO,2
integra global solutions,BPO/KPO,3
inzpire consultancy services,BPO/KPO,3
iping tech pvt ltd,BPO/KPO,3
ipuffins pvt.ltd.,BPO/KPO,3
irec soluions,BPO/KPO,3
itcons e-solutions pvt ltd,BPO/KPO,3
ites labs,BPO/KPO,3
iugo training & hr solutions,BPO/KPO,3
iwise solutions,BPO/KPO,3
jaguar consultancy services,BPO/KPO,3
jeevan yapan,BPO/KPO,3
jobs 4 nation,BPO/KPO,3
jts institute pvt ltd,BPO/KPO,3
jump project management consultants,BPO/KPO,3
kankei relationship marketing services pvt ltd,BPO/KPO,3
kensium solutions pvt ltd,BPO/KPO,3
kent technology pvt ltd,BPO/KPO,3
kris-na bpo,BPO/KPO,3
krishna bpo services pvt ltd,BPO/KPO,3
kserve bpo pvt. ltd.,BPO/KPO,3
latitude infotech,BPO/KPO,3
mac management consultants,BPO/KPO,3
macvin consultancy private limited,BPO/KPO,3
manipal education,BPO/KPO,3
mantec consultants pvt ltd,BPO/KPO,3
marvel bpo,BPO/KPO,3
massif futuristic,BPO/KPO,3
matrix solutions,BPO/KPO,3
mevadhashma enterprises [india],BPO/KPO,3
migration gurus,BPO/KPO,3
mindeye inc,BPO/KPO,3
mission naukri consultancy,BPO/KPO,3
modern ballistic solutions pvt ltd,BPO/KPO,3
nandamuri web & it services pvt ltd,BPO/KPO,3
navigant technologies,BPO/KPO,3
nebula consultancy,BPO/KPO,3
nemesis,BPO/KPO,3
nestem technologies,BPO/KPO,3
new s s consultants,BPO/KPO,3
nextical,BPO/KPO,3
niitsmart serve ltd,BPO/KPO,3
north india business solutions (p) ltd,BPO/KPO,3
novosas it solutions,BPO/KPO,3
nu aze consulting (p) ltd,BPO/KPO,3
ocean human resource services,BPO/KPO,3
one vish solutions pvt ltd,BPO/KPO,3
orbit tec.,BPO/KPO,3
orgware technologies,BPO/KPO,3
oristech global,BPO/KPO,3
pacific consultancy services,BPO/KPO,3
people network conultancy,BPO/KPO,3
percipient services and infotech pvt ltd,BPO/KPO,3
permed pvt ltd,BPO/KPO,3
phenomenal global solution,BPO/KPO,3
phistream consulting limited,BPO/KPO,3
pinnacle apertures,BPO/KPO,3
pixel soft solutions,BPO/KPO,3
pravritti placement,BPO/KPO,3
purpleno inc,BPO/KPO,3
qts,BPO/KPO,3
quadraple technologies,BPO/KPO,3
quantum business maangement pvt ltd,BPO/KPO,3
rayars management services,BPO/KPO,3
reach technologies,BPO/KPO,3
real outsourcing group,BPO/KPO,3
recruitment solutions india,BPO/KPO,3
recruitwell consultants,BPO/KPO,3
renz business solutions,BPO/KPO,3
rhombus technologies,BPO/KPO,3
richmond technologies,BPO/KPO,3
ricom technologies pvt ltd,BPO/KPO,3
right destination portfolio management,BPO/KPO,3
rik careers,BPO/KPO,3
rnd softech,BPO/KPO,3
rr infosolutions ltd,BPO/KPO,3
sacred infocom private limited,BPO/KPO,3
sai outsourcing company pvt ltd,BPO/KPO,3
samyak online,BPO/KPO,3
sapience exults,BPO/KPO,3
scriptacom bpo systems (p) ltd,BPO/KPO,3
sft solution pvt ltd,BPO/KPO,3
sgnature staff,BPO/KPO,3
sisgreen technologies,BPO/KPO,3
sivisis,BPO/KPO,3
skillsearch consultants,BPO/KPO,3
skillsoft,BPO/KPO,3
